CFOP;Mapeamento
5102;Mercadoria
5152;Mercadoria
5301;Telecom
5302;Telecom
5303;Telecom
5304;Telecom
5305;Telecom
5306;Telecom
5307;Telecom
5552;Ativo
5908;Mercadoria
5910;Mercadoria
5949;Mercadoria
5108;Mercadoria
5202;Mercadoria
5409;Mercadoria
5915;Mercadoria
5405;Mercadoria
5557;Consumo
5411;Mercadoria
5403;Mercadoria
5106;Mercadoria
5554;Ativo
5913;Mercadoria
5920;Mercadoria
5927;Mercadoria
5551;Ativo
5404;Mercadoria
5909;Mercadoria
5923;Mercadoria
6102;Mercadoria
6152;Mercadoria
6301;Telecom
6302;Telecom
6303;Telecom
6304;Telecom
6305;Telecom
6306;Telecom
6307;Telecom
6552;Ativo
6908;Mercadoria
6910;Mercadoria
6949;Mercadoria
6108;Mercadoria
6202;Mercadoria
6409;Mercadoria
6915;Mercadoria
6405;Mercadoria
6557;Consumo
6411;Mercadoria
6403;Mercadoria
6106;Mercadoria
6554;Ativo
6913;Mercadoria
6920;Mercadoria
6927;Mercadoria
6551;Ativo
6404;Mercadoria
6909;Mercadoria
6923;Mercadoria
7102;Mercadoria
7152;Mercadoria
7301;Telecom
7302;Telecom
7303;Telecom
7304;Telecom
7305;Telecom
7306;Telecom
7307;Telecom
7552;Ativo
7908;Mercadoria
7910;Mercadoria
7949;Mercadoria
7108;Mercadoria
7202;Mercadoria
7409;Mercadoria
7915;Mercadoria
7405;Mercadoria
7557;Consumo
7411;Mercadoria
7403;Mercadoria
7106;Mercadoria
7554;Ativo
7913;Mercadoria
7920;Mercadoria
7927;Mercadoria
7551;Ativo
7404;Mercadoria
7909;Mercadoria
7923;Mercadoria
1102;Mercadoria
1152;Mercadoria
1202;Mercadoria
1205;Conv. 39/Conv. 86 (NF)
1255;Energia
1301;Telecom
1552;Ativo
1909;Mercadoria
1949;Mercadoria
1102;Mercadoria
1152;Mercadoria
1202;Mercadoria
1255;Energia
1301;Telecom
1551;Ativo
1552;Ativo
1556;Consumo
1910;Mercadoria
1949;Mercadoria
1409;Mercadoria
1411;Mercadoria
1551;Ativo
1556;Consumo
1403;Mercadoria
1409;Mercadoria
1557;Mercadoria
1252;Energia
1915;Mercadoria
1303;Telecom
1604;Ciap (NF)
1908;Mercadoria
1910;Mercadoria
1912;Mercadoria
1916;Mercadoria
1406;Ativo
1411;Mercadoria
1909;Mercadoria
1916;Mercadoria
1912;Mercadoria
1923;Mercadoria
1908;Mercadoria
1251;Energia
1603;Outros
2102;Mercadoria
2152;Mercadoria
2202;Mercadoria
2205;Conv. 39/Conv. 86 (NF)
2255;Energia
2301;Telecom
2552;Ativo
2909;Mercadoria
2949;Mercadoria
2102;Mercadoria
2152;Mercadoria
2202;Mercadoria
2255;Energia
2301;Telecom
2551;Ativo
2552;Ativo
2556;Consumo
2910;Mercadoria
2949;Mercadoria
2409;Mercadoria
2411;Mercadoria
2551;Ativo
2556;Consumo
2403;Mercadoria
2409;Mercadoria
2557;Mercadoria
2252;Energia
2915;Mercadoria
2303;Telecom
2604;Ciap (NF)
2908;Mercadoria
2910;Mercadoria
2912;Mercadoria
2916;Mercadoria
2406;Ativo
2411;Mercadoria
2909;Mercadoria
2916;Mercadoria
2912;Mercadoria
2923;Mercadoria
2908;Mercadoria
2251;Energia
2603;Outros
3102;Mercadoria
3152;Mercadoria
3202;Mercadoria
3205;Conv. 39/Conv. 86 (NF)
3255;Energia
3301;Telecom
3552;Ativo
3909;Mercadoria
3949;Mercadoria
3102;Mercadoria
3152;Mercadoria
3202;Mercadoria
3255;Energia
3301;Telecom
3551;Ativo
3552;Ativo
3556;Consumo
3910;Mercadoria
3949;Mercadoria
3409;Mercadoria
3411;Mercadoria
3551;Ativo
3556;Consumo
3403;Mercadoria
3409;Mercadoria
3557;Mercadoria
3252;Energia
3915;Mercadoria
3303;Telecom
3604;Ciap (NF)
3908;Mercadoria
3910;Mercadoria
3912;Mercadoria
3916;Mercadoria
3406;Ativo
3411;Mercadoria
3909;Mercadoria
3916;Mercadoria
3912;Mercadoria
3923;Mercadoria
3908;Mercadoria
3251;Energia
3603;Outros
